x y z c
5.75 -6.5 -19 0
6.25 -6.5 -19 0
6.75 -6.5 -19 0
7.25 -6.5 -19 0
7.75 -6.5 -19 0
8.25 -6.5 -19 0
8.75 -6.5 -19 0
9.25 -6.5 -19 0
9.75 -6.5 -19 0
10.25 -6.5 -19 0
10.75 -6.5 -19 0
11.25 -6.5 -19 0
11.75 -6.5 -19 0
12.5 -6.5 -19 0
13.5 -6.5 -19 0
14.5 -6.5 -19 0
15.5 -6.5 -19 0
16.5 -6.5 -19 0
17.5 -6.5 -19 0
18.5 -6.5 -19 0
19.5 -6.5 -19 0
20.5 -6.5 -19 0
21.5 -6.5 -19 0
22.5 -6.5 -19 0
23.5 -6.5 -19 0
24.5 -6.5 -19 0
25.5 -6.5 -19 0
26.5 -6.5 -19 0
27.5 -6.5 -19 0
28.5 -6.5 -19 0
29.5 -6.5 -19 0
31 -6.5 -19 0
33 -6.5 -19 0
36 -6.5 -19 0
40 -6.5 -19 0
44 -6.5 -19 0
48 -6.5 -19 0
-0.25 -5.5 -19 0
0.25 -5.5 -19 0
0.75 -5.5 -19 0
1.25 -5.5 -19 0
1.75 -5.5 -19 0
2.25 -5.5 -19 0
2.75 -5.5 -19 0
3.25 -5.5 -19 0
3.75 -5.5 -19 0
4.25 -5.5 -19 0
4.75 -5.5 -19 0
5.25 -5.5 -19 0
5.75 -5.5 -19 0
6.25 -5.5 -19 0
6.75 -5.5 -19 0
7.25 -5.5 -19 0
7.75 -5.5 -19 0
8.25 -5.5 -19 0
8.75 -5.5 -19 0
9.25 -5.5 -19 0
9.75 -5.5 -19 0
10.25 -5.5 -19 0
10.75 -5.5 -19 0
11.25 -5.5 -19 0
11.75 -5.5 -19 0
12.5 -5.5 -19 0
13.5 -5.5 -19 0
14.5 -5.5 -19 0
15.5 -5.5 -19 0
16.5 -5.5 -19 0
17.5 -5.5 -19 0
18.5 -5.5 -19 0
19.5 -5.5 -19 0
20.5 -5.5 -19 0
21.5 -5.5 -19 0
22.5 -5.5 -19 0
23.5 -5.5 -19 0
24.5 -5.5 -19 0
25.5 -5.5 -19 0
26.5 -5.5 -19 0
27.5 -5.5 -19 0
28.5 -5.5 -19 0
29.5 -5.5 -19 0
31 -5.5 -19 0
33 -5.5 -19 0
36 -5.5 -19 0
40 -5.5 -19 0
44 -5.5 -19 0
48 -5.5 -19 0
